Accession,Location,Source,Genus
AJ408869.1,Wisconsin,Myrica californica,Myrica
AJ408870.1,Wisconsin,Myrica pensylvanica,Myrica
AJ408871.1,Wisconsin,Myrica pensylvanica,Myrica
AJ408872.1,Wisconsin,Myrica pensylvanica,Myrica
AJ408873.1,Wisconsin,Myrica gale,Myrica
AJ408874.1,Wisconsin,Shepherdia canadensis,Shepherdia
AJ408875.1,Wisconsin,Shepherdia canadensis,Shepherdia
AJ408876.1,Wisconsin,Myrica gale,Myrica
L40610.1,unknown,Alnus sp.,Alnus
L40611.1,unknown,Alnus sp.,Alnus
L40612.1,unknown,Alnus sp.,Alnus
L40613.1,unknown,Alnus sp.,Alnus
L40616.1,unknown,Dryas drummondii,Dryas
L40617.1,unknown,Elaeagnus sp.,Elaeagnus
L40618.1,unknown,Elaeagnus sp.,Elaeagnus
L40619.1,unknown,Elaeagnus sp.,Elaeagnus
L40614.1,unknown,,non-Frankia
L40621.1,unknown,,non-Frankia
L40620.1,unknown,,non-Frankia
L40615.1,unknown,,non-Frankia
L40622.1,India,Myrica nagi,Myrica
L40956.1,Canada,Alnus rugosa,Alnus
R1_1_S1,PNW,Alnus rubra,Alnus
R1_1_S2,PNW,Alnus rubra,Alnus
R1_1_S3,PNW,Alnus rubra,Alnus
R1_5_S3,PNW,Alnus rubra,Alnus
R1_5_S5,PNW,Alnus rubra,Alnus
R2_1_S1,PNW,Alnus rubra,Alnus
R2_1_S2,PNW,Alnus rubra,Alnus
R2_1_S4,PNW,Alnus rubra,Alnus
R2_1_S5,PNW,Alnus rubra,Alnus
R2_3_S1,PNW,Alnus rubra,Alnus
R2_3_S2,PNW,Alnus rubra,Alnus
R2_3_S3,PNW,Alnus rubra,Alnus
R2_3_S4,PNW,Alnus rubra,Alnus
R2_3_S5,PNW,Alnus rubra,Alnus
R3_1_S1,PNW,Alnus rubra,Alnus
R3_1_S2,PNW,Alnus rubra,Alnus
R3_1_S3,PNW,Alnus rubra,Alnus
R3_1_S4,PNW,Alnus rubra,Alnus
R3_1_S5,PNW,Alnus rubra,Alnus
R3_3_S1,PNW,Alnus rubra,Alnus
R3_3_S2,PNW,Alnus rubra,Alnus
R3_3_S3,PNW,Alnus rubra,Alnus
R3_3_S4,PNW,Alnus rubra,Alnus
R3_3_S5,PNW,Alnus rubra,Alnus
R4_1_S5,PNW,Alnus rubra,Alnus
R5_1_S1,PNW,Alnus rubra,Alnus
R5_1_S2,PNW,Alnus rubra,Alnus
R5_1_S3,PNW,Alnus rubra,Alnus
R5_1_S4,PNW,Alnus rubra,Alnus
R5_1_S5,PNW,Alnus rubra,Alnus
R5_4_S4,PNW,Alnus rubra,Alnus
R5_4_S5,PNW,Alnus rubra,Alnus
R5_6_S1,PNW,Alnus rubra,Alnus
R5_6_S2,PNW,Alnus rubra,Alnus
R5_6_S3,PNW,Alnus rubra,Alnus
R5_6_S4,PNW,Alnus rubra,Alnus
R5_6_S5,PNW,Alnus rubra,Alnus
R5_8_S1,PNW,Alnus rubra,Alnus
R5_8_S2,PNW,Alnus rubra,Alnus
R5_8_S3,PNW,Alnus rubra,Alnus
V1_2_S2,PNW,Alnus viridis,Alnus
V1_2_S4,PNW,Alnus viridis,Alnus
V1_2_S5,PNW,Alnus viridis,Alnus
V1_4_S2,PNW,Alnus viridis,Alnus
V1_6_S2,PNW,Alnus viridis,Alnus
V1_6_S3,PNW,Alnus viridis,Alnus
V1_6_S4,PNW,Alnus viridis,Alnus
V2_2_S2,PNW,Alnus viridis,Alnus
V2_4_S3,PNW,Alnus viridis,Alnus
V3_1_S1,PNW,Alnus viridis,Alnus
V3_1_S2,PNW,Alnus viridis,Alnus
V3_2_S3,PNW,Alnus viridis,Alnus
V3_2_S5,PNW,Alnus viridis,Alnus
V4_2_S1,PNW,Alnus viridis,Alnus
V4_2_S3,PNW,Alnus viridis,Alnus
V4_2_S4,PNW,Alnus viridis,Alnus
V4_2_S5,PNW,Alnus viridis,Alnus
V5_2_S3,PNW,Alnus viridis,Alnus
V5_2_S4,PNW,Alnus viridis,Alnus
V5_2_S5,PNW,Alnus viridis,Alnus
V5_5_S1,PNW,Alnus viridis,Alnus
V5_5_S3,PNW,Alnus viridis,Alnus
V5_7_S1,PNW,Alnus viridis,Alnus
V5_7_S2,PNW,Alnus viridis,Alnus
V5_7_S3,PNW,Alnus viridis,Alnus
V5_7_S5,PNW,Alnus viridis,Alnus
R4_1_S1,PNW,Alnus viridis,Alnus
V1_2_S1,PNW,Alnus viridis,Alnus
R4_1_S4,PNW,Alnus viridis,Alnus
R4_1_S2,PNW,Alnus viridis,Alnus
V3_2_S4,PNW,Alnus viridis,Alnus
V1_6_S1,PNW,Alnus viridis,Alnus
V1_6_S5,PNW,Alnus viridis,Alnus
R4_1_S3,PNW,Alnus viridis,Alnus
R2_1_S3,PNW,Alnus viridis,Alnus
R5_4_S3,PNW,Alnus viridis,Alnus
R5_4_S2,PNW,Alnus viridis,Alnus
R5_4_S1,PNW,Alnus viridis,Alnus
V5_5_S2,PNW,Alnus viridis,Alnus
