Plot,Value,Variable
1,1.841355496,moisture
2,67.15659479,moisture
3,109.7322845,moisture
4,3.169092233,moisture
5,11.85838401,moisture
1,7.300340751,NH4-N
2,14.34217232,NH4-N
3,7.514248551,NH4-N
4,6.245795365,NH4-N
5,1.620996662,NH4-N
1,13.608,P
2,17.3525,P
3,34.36430495,P
4,31.55673969,P
5,23.0481774,P
1,238.12,Ca
2,697.375,Ca
3,1204.447562,Ca
4,287.5806499,Ca
5,335.7521054,Ca
1,61.716,Mg
2,113.25,Mg
3,152.3196357,Mg
4,96.11205662,Mg
5,116.4067953,Mg
1,1.416,Cu
2,4.28,Cu
3,14.42552874,Cu
4,4.836479929,Cu
5,5.401814574,Cu
1,0.134943446,B
2,0.606441593,B
3,1.769255183,B
4,0.068112082,B
5,0.071389657,B
1,654,S
2,1282.5,S
3,820,S
4,435,S
5,480,S
1,2.002366667,CEC
2,4.790375,CEC
3,7.731918936,CEC
4,2.456979335,CEC
5,2.907643467,CEC
1,0.046852,EC
2,0.622,EC
3,0.12966,EC
4,0.016005,EC
5,0.0262825,EC
