Sample ID,Plot,Quad,Tree #,LAT,LON
Plot 1,1,Center,-,46.15374,122.09985
MSH_R1.1_A,1,A,1,46.15377,122.09984
MSH_V1.2_A,1,A,2,46.15377,122.09983
MSH_R1.3_D,1,D,3,46.15376,122.09995
MSH_V1.4_D,1,D,4,46.15377,122.09996
MSH_R1.5_D,1,D,5,46.15368,122.09997
MSH_V1.6_D,1,D,6,46.15366,122.09996
Plot 2,2,Center,-,46.14927,122.10183
MSH_R2.1_B,2,B,7,46.14928,122.10181
MSH_V2.2_B,2,B,8,46.14929,122.10182
MSH_R2.3_C,2,C,9,46.14923,122.1019
MSH_V2.4_C,2,C,10,46.14923,122.10188
Plot 3,3,Center,-,46.15018,122.10261
MSH_R3.1_C,3,C,11,46.15015,122.10262
MSH_V3.2_C,3,C,12,46.15014,122.1026
MSH_R3.3_C,3,D,13,46.1502,122.10253
MSH_V3.4_D,3,D,14,46.15023,122.10258
Plot 4,4,Center,-,46.15813,122.1055
MSH_R4.1_D,4,D,23,46.15812,122.10545
MSH_V4.2_C,4,C,24,46.15811,122.10554
Plot 5,5,Center,-,46.16016,122.10592
MSH_R5.1_C,5,C,15,46.16008,122.10598
MSH_V5.2_D,5,D,16,46.16015,122.1059
MSH_V5.3_B,5,B,17,46.16016,122.10593
MSH_R5.4_B,5,B,18,46.16017,122.10592
MSH_V5.5_B,5,B,19,46*16018,122.10589
MSH_R5.6_D,5,D,20,46.16013,122.10589
MSH_R5.7_D,5,D,21,46.16015,122.10585
MSH_V5.8_A,5,A,22,46.16022,122.10594
